gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z
1.375,-0.625,0.8125,0.038064,-0.047824,1.037488,0.266,-0.485,0.5660000000000001
1.0,-0.625,0.6875,0.036112,-0.046848,1.0365119999999999,0.265,-0.49,0.5640000000000001
1.3125,-0.6875,0.8125,0.036112,-0.049776,1.03944,0.256,-0.47900000000000004,0.5670000000000001
1.1875,-0.5625,1.0625,0.036112,-0.047824,1.035536,0.265,-0.48400000000000004,0.565
1.5000000000000002,-0.4375,0.8125,0.037087999999999996,-0.049776,1.038464,0.264,-0.491,0.5770000000000001
1.375,-0.625,0.875,0.042943999999999996,-0.037087999999999996,0.9808799999999999,0.269,-0.48400000000000004,0.558
1.125,-2.375,0.6875,0.04392,-0.046848,1.017968,0.269,-0.48100000000000004,0.561
1.6875,-1.8125000000000002,0.9374999999999999,0.044896,-0.050752,1.016016,0.267,-0.49400000000000005,0.558
1.75,0.9374999999999999,0.5,0.032208,-0.05368,1.028704,0.267,-0.48300000000000004,0.548
1.0,-0.18750000000000003,0.6875,0.033184,-0.046848,1.02968,0.27,-0.47900000000000004,0.5640000000000001
6.5,-0.9374999999999999,0.4375,0.03904,-0.054656,1.0267519999999999,0.263,-0.48200000000000004,0.562
1.5625,-0.6875,-8.9375,0.056608,-0.047824,1.022848,0.259,-0.47900000000000004,0.561
14.750000000000002,-6.5,-5.8125,0.037087999999999996,-0.061488,1.096048,0.255,-0.47400000000000003,0.5630000000000001
37.0,0.0625,-2.9375,0.018543999999999998,0.00488,1.03944,0.251,-0.47200000000000003,0.537
54.6875,1.5625,-0.7500000000000001,0.037087999999999996,-0.026352,1.043344,0.26,-0.466,0.535
63.50000000000001,6.3125,4.9375,0.041968,0.06539199999999999,0.997472,0.257,-0.4590000000000001,0.543
